policy,m,k,mode,lead_ms,control,metric,paired_events,independent_blocks,mean_delta,ci_low,ci_high,estimand
cosine,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,19.050873539999998,15.99190315,22.10542488345833,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,19.041796440000002,16.076152968333336,22.105610463999998,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,60.22274094333333,55.73010933666666,66.15695514333332,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,61.32813612,57.140383955000004,67.30677032833331,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,60.566040156666666,56.271551785041666,66.13242877933332,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,cosine,application_with_policy_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,14.975824688333333,13.131321588166665,16.799055035,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,14.969761151666667,13.150393243333333,16.789129059999997,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,65.25196217333333,60.97630881233333,69.59957082000001,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,68.44436082166668,64.36873556333335,72.95360138166667,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,65.39368901333334,60.99877998666667,69.66525096541667,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,-4.075048851666668,-8.610807190000001,0.3598724716666655,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,-4.072035288333334,-8.723138932958333,0.18273921999999834,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,5.029221230000002,0.26561908000000545,9.999360121666669,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,cosine,application_with_policy_ms,600,6,7.1162247016666695,2.3363708016666704,12.404454720000011,equal-block mean; descriptive if blocks share source records
offline,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,4.827648856666666,0.1493629133333303,9.765175453125,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,12.98840388,9.041354611041665,16.934504281666666,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,12.987240253333335,9.041806056666667,16.72877585699999,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,66.23416160833332,55.46015483491666,75.51908657,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,69.44128487333333,58.74237478166666,79.69393010666666,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,66.37011215833333,56.52601134908333,76.55675403500001,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,-6.0624696600000005,-10.076670115,-2.5049505200000004,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,-6.054556186666667,-10.129593790000001,-2.5259826050000003,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,6.011420665000004,-4.397653493333327,16.017642948333336,equal-block mean; descriptive if blocks share source records
